"A"
"18.1618565382"
"20.4472107792"
"20.1137220956"
"19.8155714195"
"20.3440794883"
"19.679968786"
"20.3461058074"
"19.8011746812"
"20.113139706"
"18.1568287039"
"18.7878142836"
"17.7729899262"
"19.5192725107"
"20.0313860179"
"19.8139964208"
"20.3288443478"
"20.0452510018"
"18.6148886994"
"19.8251022991"
"20.1332418801"
"18.7945314895"
"18.799602518"
"18.2075358595"
"19.8889767633"
"17.4771929648"
"20.1326070634"
"20.0565524289"
"20.0192147983"
"20.2087342296"
"19.0843605236"
"20.3509353861"
"20.2515494822"
"20.0571291537"
"19.9206947609"
"20.4590861663"
"20.1273101405"
"20.2091157912"
"18.6661394641"
"19.8855668028"
"19.4788318192"
"18.3173969626"
"19.8433343524"
"20.2597361911"
